,year,month,day,name,location,country,elevation,type,status,total_deaths,total_deaths_description,total_injuries_description,total_damage_description,total_houses_destroyed_description,Tsunami caused?,Earthquake caused?,Volcano Explosive Index,longitude,latitude
49,1998,10,30,San Cristobal,Nicaragua,Nicaragua,1745,Stratovolcano,Historical,1620.0,Very Many (~1001 or more deaths),,,,no,no,,-87.004,12.702
50,2004,6,8,Tengger Caldera,Java,Indonesia,2329,Stratovolcano,Historical,,,,,,no,no,2,112.95,-7.942
51,2007,4,18,Huila,Colombia,Colombia,5365,Stratovolcano,Historical,,,,MODERATE (~$1 to $5 million),Few (~1 to 50 houses),no,no,,-76.05,2.92
52,2008,5,2,Chaiten,Chile-S,Chile,962,Caldera,Holocene,1.0,Few (~1 to 50 deaths),,,,no,no,,-72.646,-42.833
53,2008,8,8,Kasatochi,Aleutian Is,United States,314,Stratovolcano,Historical,,,,,,yes,no,3,-175.5,52.18
54,2017,12,18,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,8.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,,110.442,-7.542
55,-4050,,,Masaya,Nicaragua,Nicaragua,635,Caldera,Historical,,,,,,no,no,6,-86.161,11.984
56,-2420,,,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,,,,,,no,no,5,14.426,40.821
57,79,8,25,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,2100.0,Very Many (~1001 or more deaths),,,,yes,yes,5,14.426,40.821
58,1375,,,"Chichon, El",Mexico,Mexico,1150,Tuff cone,Historical,,Some (~51 to 100 deaths),,,,no,no,5,-93.228,17.36
59,1376,,,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,3,112.308,-7.93
60,1538,9,29,Campi Flegrei,Italy,Italy,458,Caldera,Historical,24.0,Few (~1 to 50 deaths),,,,no,no,3,14.139,40.827
61,1664,4,15,Unzen,Kyushu-Japan,Japan,1500,Complex volcano,Historical,30.0,Few (~1 to 50 deaths),,,,no,no,2,130.3,32.75
62,1698,,,Cotopaxi,Ecuador,Ecuador,5911,Stratovolcano,Historical,,Some (~51 to 100 deaths),,,,no,no,3,-78.436,-0.677
63,1775,,,Gamalama,Halmahera-Indonesia,Indonesia,1715,Stratovolcano,Historical,1300.0,Very Many (~1001 or more deaths),,,,no,no,3,127.325,0.8
64,1800,10,30,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,2,123.685,13.257
65,1822,3,9,Usu,Hokkaido-Japan,Japan,731,Stratovolcano,Historical,50.0,Few (~1 to 50 deaths),Some (~51 to 100 deaths),,Some (~51 to 100 houses),no,no,4,140.83,42.53
66,1822,10,8,Galunggung,Java,Indonesia,2168,Stratovolcano,Historical,4011.0,Very Many (~1001 or more deaths),,SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),no,no,5,108.05,-7.25
67,1840,2,2,Gamalama,Halmahera-Indonesia,Indonesia,1715,Stratovolcano,Historical,,,,,,yes,no,2,127.325,0.8
68,1874,7,3,Miyake-jima,Izu Is-Japan,Japan,815,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,3,139.53,34.08
69,1911,11,3,Piparo,Trinidad,Trinidad,140,Mud volcano,Historical,,,,,,yes,no,,-61.0,10.0
70,1911,11,8,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,3,112.92,-8.108
71,1916,7,3,Stromboli,Italy,Italy,926,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,yes,no,3,15.213,38.789
72,1928,5,13,Dieng Volc Complex,Java,Indonesia,2565,Complex volcano,Historical,40.0,Few (~1 to 50 deaths),,,,no,no,2,109.92,-7.2
73,1933,12,25,Bulusan,Luzon-Philippines,Philippines,1565,Stratovolcano,Historical,9.0,Few (~1 to 50 deaths),,SEVERE (~>$5 to $24 million),,yes,no,2,124.05,12.77
74,1944,8,26,Usu,Hokkaido-Japan,Japan,731,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,2,140.83,42.53
75,1953,12,24,Ruapehu,New Zealand,New Zealand,2797,Stratovolcano,Historical,151.0,Many (~101 to 1000 deaths),,,,no,no,,175.57,-39.28
76,1966,4,26,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,215.0,Many (~101 to 1000 deaths),Some (~51 to 100 deaths),,,no,no,4,112.308,-7.93
77,1966,8,14,"Lengai, Ol Doinyo",Africa-E,Tanzania,2890,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,4,35.902,-2.751
78,1969,8,26,Narugo,Honshu-Japan,Japan,462,Caldera,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,,140.73,38.73
79,1971,8,12,"Hudson, Cerro",Chile-S,Chile,1905,Stratovolcano,Historical,3.0,Few (~1 to 50 deaths),,,,no,no,3,-72.97,-45.9
80,1973,12,5,Iliwerung,Lesser Sunda Is,Indonesia,1018,Complex volcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,2,123.59,-8.54
81,1979,3,8,Karkar,New Guinea-NE of,Papua New Guinea,1839,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,2,145.964,-4.649
82,1981,3,17,Etna,Italy,Italy,3350,Stratovolcano,Historical,,,,,,no,no,2,15.004,37.734
83,1982,3,29,"Chichon, El",Mexico,Mexico,1150,Tuff cone,Historical,1879.0,Very Many (~1001 or more deaths),,MODERATE (~$1 to $5 million),,no,yes,5,-93.228,17.36
84,1993,1,14,Galeras,Colombia,Colombia,4276,Complex volcano,Historical,9.0,Few (~1 to 50 deaths),,,,no,no,2,-77.37,1.22
