,year,month,day,name,location,country,elevation,type,status,total_deaths,total_deaths_description,total_injuries_description,total_damage_description,total_houses_destroyed_description,Tsunami caused?,Earthquake caused?,Volcano Explosive Index,longitude,latitude
177,1912,9,6,Novarupta,Alaska Peninsula,United States,841,Caldera,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,6,-155.16,58.27
178,1953,7,26,Hakone,Honshu-Japan,Japan,1438,Complex volcano,Radiocarbon,10.0,Few (~1 to 50 deaths),,,,no,no,,139.02,35.22
179,1961,6,18,Daisetsu,Hokkaido-Japan,Japan,2290,Stratovolcano,Tephrochronology,2.0,Few (~1 to 50 deaths),,,,no,no,,142.88,43.68
180,1964,12,13,Dieng Volc Complex,Java,Indonesia,2565,Complex volcano,Historical,114.0,Many (~101 to 1000 deaths),,,,no,no,1,109.92,-7.2
181,1965,10,24,Kick-'em-Jenny,W Indies,Netherlands,-177,Submarine volcano,Historical,,,,,,yes,no,0,-61.63,12.3
182,1971,9,6,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,851,Stratovolcano,Historical,,,,,,yes,no,2,165.8,-10.38
183,1976,8,31,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,119.0,Many (~101 to 1000 deaths),,,,no,no,2,112.92,-8.108
184,1976,9,15,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,1784,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,Few (~1 to 50 houses),no,no,2,125.48,2.7800000000000002
185,1978,9,2,Santa Maria,Guatemala,Guatemala,3772,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,3,-91.552,14.756
186,1983,3,8,Kliuchevskoi,Kamchatka,Russia,4835,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,2,160.638,56.057
187,1986,11,15,Oshima,Izu Is-Japan,Japan,758,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,3,139.38,34.73
188,1992,1,21,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,1784,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,2,125.48,2.7800000000000002
189,2002,1,3,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,1784,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),no,no,3,125.48,2.7800000000000002
190,2013,8,10,Paluweh,Lesser Sunda Is,Indonesia,875,Stratovolcano,Historical,5.0,Few (~1 to 50 deaths),,,,no,no,3,121.708,-8.32
191,2013,9,15,Sinabung,Sumatra,Indonesia,2460,Stratovolcano,Holocene,,,,MODERATE (~$1 to $5 million),,no,no,2,98.392,3.17
192,2017,4,13,Sinabung,Sumatra,Indonesia,2460,Stratovolcano,Holocene,,,,LIMITED (roughly corresponding to less than $1 million),Some (~51 to 100 houses),no,no,2,98.392,3.17
193,2018,12,22,Krakatau,Indonesia,Indonesia,813,Caldera,Historical,437.0,Many (~101 to 1000 deaths),Very Many (~1001 or more deaths),EXTREME (~$25 million or more),Very Many (~1001 or more houses),yes,no,1,105.423,-6.102
194,2019,6,26,Ulawun,New Britain-SW Pac,Papua New Guinea,2334,Stratovolcano,Historical,,,Few (~1 to 50 deaths),SEVERE (~>$5 to $24 million),,no,no,,151.33,-5.05
195,920,,,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,,,,,,no,no,4,-19.05,63.63
196,1104,10,15,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,5,-19.7,63.98
197,1151,,,Krisuvik,Iceland-SW,Iceland,379,Crater rows,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,1,-22.1,63.93
198,1206,12,4,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,2,-19.7,63.98
199,1329,6,28,Etna,Italy,Italy,3350,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),yes,yes,3,15.004,37.734
200,1485,1,,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,2,131.1,32.88
201,1550,11,,Dukono,Halmahera-Indonesia,Indonesia,1185,Complex volcano,Historical,,Few (~1 to 50 deaths),,,,no,no,3,127.88,1.6800000000000002
202,1576,,,Colima,Mexico,Mexico,3850,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,3,-103.62,19.514
203,1580,8,11,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,,,,,,no,no,4,-19.05,63.63
204,1598,5,13,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,800.0,Many (~101 to 1000 deaths),,,,no,no,2,138.53,36.4
205,1730,9,1,Lanzarote,Canary Is,Spain,670,Fissure vent,Historical,,Few (~1 to 50 deaths),,,,no,no,2,-13.63,29.03
206,1772,8,12,Papandayan,Java,Indonesia,2665,Stratovolcano,Historical,2957.0,Very Many (~1001 or more deaths),,,Many (~101 to 1000 houses),no,no,3,107.73,-7.32
207,1781,4,11,Sakura-jima,Kyushu-Japan,Japan,1117,Stratovolcano,Historical,38.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,yes,no,4,130.67,31.58
208,1826,10,,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,,Many (~101 to 1000 deaths),,,,no,no,2,131.1,32.88
209,1840,5,30,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,yes,no,0,-155.292,19.425
210,1840,,,Savo,Solomon Is-SW Pacifi,Solomon Is.,510,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,3,159.82,-9.13
211,1850,,,Rabaul,New Britain-SW Pac,Papua New Guinea,688,Pyroclastic shield,Historical,,Many (~101 to 1000 deaths),,,,no,no,2,152.203,-4.271
212,1858,7,3,Tate-yama,Honshu-Japan,Japan,2621,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,,137.6,36.57
213,1883,3,,Karthala,Indian O-W,Comoros,2361,Shield volcano,Historical,,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),,no,no,2,43.38,-11.75
214,1887,3,9,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,15.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),no,no,3,123.685,13.257
215,1890,6,29,Makian,Halmahera-Indonesia,Indonesia,1357,Stratovolcano,Historical,,,,SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),no,no,2,127.4,0.32
216,1902,8,30,Pelee,W Indies,Martinique,1397,Stratovolcano,Historical,1500.0,Many (~101 to 1000 deaths),,,,yes,no,4,-61.17,14.82
217,1902,10,25,Santa Maria,Guatemala,Guatemala,3772,Stratovolcano,Historical,10000.0,Very Many (~1001 or more deaths),,MODERATE (~$1 to $5 million),Some (~51 to 100 houses),no,no,6,-91.552,14.756
218,1936,2,,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,3,138.53,36.4
219,1937,2,9,Llaima,Chile-C,Chile,3125,Stratovolcano,Historical,3.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,no,no,2,-71.729,-38.692
220,1943,4,13,"Azul, Cerro",Galapagos,Ecuador,1690,Shield volcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,3,-91.42,-0.9
221,1951,1,21,Lamington,New Guinea,Papua New Guinea,1680,Stratovolcano,Historical,2942.0,Very Many (~1001 or more deaths),Some (~51 to 100 deaths),,,no,no,4,148.15,-8.95
222,1970,3,2,Campi Flegrei,Italy,Italy,458,Caldera,Historical,3.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),no,no,,14.139,40.827
223,1981,5,14,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,372.0,Many (~101 to 1000 deaths),Many (~101 to 1000 deaths),,,no,no,3,112.92,-8.108
224,1983,8,17,Iliwerung,Lesser Sunda Is,Indonesia,1018,Complex volcano,Historical,,,,,,yes,no,1,123.59,-8.54
225,1985,12,19,Etna,Italy,Italy,3350,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,1,15.004,37.734
226,1990,5,29,Sabancaya,Peru,Peru,5967,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,3,-71.85,-15.78
227,1990,11,21,Nyiragongo,Africa-C,"Congo, DRC",3470,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,,29.25,-1.52
228,1997,9,2,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,3,112.92,-8.108
229,1999,1,20,Soufriere Hills,W Indies,Montserrat,915,Stratovolcano,Historical,,,,,,yes,no,3,-62.18,16.72
230,2000,11,,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,2,110.442,-7.542
231,-1860,,,St. Helens,US-Washington,United States,2549,Stratovolcano,Historical,,,,,,no,no,6,-122.18,46.2
232,230,,,Taupo,New Zealand,New Zealand,760,Caldera,Radiocarbon,,,,,,no,no,6,176.0,-38.82
233,1169,2,4,Etna,Italy,Italy,3350,Stratovolcano,Historical,16000.0,Very Many (~1001 or more deaths),,EXTREME (~$25 million or more),,yes,yes,,15.004,37.734
234,1566,10,31,Kirishima,Kyushu-Japan,Japan,1700,Shield volcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,3,130.87,31.93
235,1597,1,3,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,4,-19.7,63.98
236,1640,,,Tungurahua,Ecuador,Ecuador,5023,Stratovolcano,Historical,5000.0,Very Many (~1001 or more deaths),,,Very Many (~1001 or more houses),no,no,3,-78.442,-1.467
237,1650,9,26,Santorini,Greece,Greece,329,Shield volcano,Historical,120.0,Many (~101 to 1000 deaths),,,,yes,no,4,25.396,36.404
238,1660,11,3,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,4,-19.05,63.63
239,1672,8,4,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,3000.0,Very Many (~1001 or more deaths),,,,no,no,3,110.442,-7.542
240,1679,9,21,Zukur,Red Sea,Yemen,624,Shield volcano,Holocene,,,,,,no,yes,,42.75,14.02
241,1717,2,7,Kirishima,Kyushu-Japan,Japan,1700,Shield volcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,3,130.87,31.93
242,1741,8,23,Oshima-Oshima,Hokkaido-Japan,Japan,737,Stratovolcano,Historical,2000.0,Very Many (~1001 or more deaths),,SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),yes,no,4,139.37,41.5
243,1753,10,15,Grimsvotn,Iceland-NE,Iceland,1725,Caldera,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,2,-17.33,64.42
244,1780,9,9,Sakura-jima,Kyushu-Japan,Japan,1117,Stratovolcano,Historical,,,,,,yes,no,4,130.67,31.58
245,1817,,,Raung,Java,Indonesia,3332,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,4,114.042,-8.125
246,1833,11,24,Kaba,Sumatra,Indonesia,1952,Stratovolcano,Historical,126.0,Many (~101 to 1000 deaths),,,,no,no,2,102.62,-3.52
247,1841,4,,Kuchinoerabu-jima,Ryukyu Is,Japan,649,Stratovolcano,Historical,,,,MODERATE (~$1 to $5 million),Some (~51 to 100 houses),no,no,2,130.22,30.43
248,1843,2,8,Liamuiga,W Indies,St. Kitts & Nevis,1156,Stratovolcano,Radiocarbon,,,,,,yes,no,0,-62.8,17.37
249,1871,3,3,Ruang,Sangihe Is-Indonesia,Indonesia,725,Stratovolcano,Historical,400.0,Many (~101 to 1000 deaths),,MODERATE (~$1 to $5 million),Some (~51 to 100 houses),yes,no,2,125.425,2.2800000000000002
250,1899,,,Manam,New Guinea-NE of,Papua New Guinea,1807,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,2,145.061,-4.1
251,1900,2,16,Kirishima,Kyushu-Japan,Japan,1700,Shield volcano,Historical,2.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,2,130.87,31.93
252,1928,1,,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,3,123.685,13.257
253,1937,5,29,Rabaul,New Britain-SW Pac,Papua New Guinea,688,Pyroclastic shield,Historical,507.0,Many (~101 to 1000 deaths),,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),yes,yes,4,152.203,-4.271
254,1946,1,,Sakura-jima,Kyushu-Japan,Japan,1117,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,2,130.67,31.58
255,1953,6,27,St. Andrew Strait,Admiralty Is-SW Paci,Papua New Guinea,270,Complex volcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,yes,no,0,147.35,-2.38
256,1976,8,12,Sangay,Ecuador,Ecuador,5230,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,3,-78.33,-2.03
257,1977,8,2,Kliuchevskoi,Kamchatka,Russia,4835,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,3,160.638,56.057
258,1981,6,30,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,200.0,Many (~101 to 1000 deaths),,,,no,no,,123.685,13.257
259,1992,5,11,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,1784,Stratovolcano,Historical,6.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,1,125.48,2.7800000000000002
260,1994,9,19,Rabaul,New Britain-SW Pac,Papua New Guinea,688,Pyroclastic shield,Historical,4.0,Few (~1 to 50 deaths),,EXTREME (~$25 million or more),,yes,no,3,152.203,-4.271
261,1997,1,14,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,6.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,2,110.442,-7.542
262,2005,1,27,Manam,New Guinea-NE of,Papua New Guinea,1807,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,4,145.061,-4.1
263,2006,3,17,Raoul Island,Kermadec Is,New Zealand,516,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,,-177.92,-29.27
264,2014,11,23,Fogo,Cape Verde Is,Cape Verde,2829,Stratovolcano,Historical,,,,MODERATE (~$1 to $5 million),Many (~101 to 1000 houses),no,no,,-24.35,14.95
265,2015,7,31,Manam,New Guinea-NE of,Papua New Guinea,1807,Stratovolcano,Historical,,,Few (~1 to 50 deaths),LIMITED (roughly corresponding to less than $1 million),,no,no,2,145.061,-4.1
266,-1460,,,Taupo,New Zealand,New Zealand,760,Caldera,Radiocarbon,,,,,,no,no,6,176.0,-38.82
267,1000,,,Changbaishan,China-E,North Korea,2744,Stratovolcano,Historical,,,,,,no,no,7,128.08,41.98
268,1727,8,3,Oraefajokull,Iceland-SE,Iceland,2119,Stratovolcano,Historical,3.0,Few (~1 to 50 deaths),,,,no,no,4,-16.65,64.0
269,1826,10,11,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,,Few (~1 to 50 deaths),Some (~51 to 100 deaths),SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),no,no,3,112.308,-7.93
270,1868,4,3,Mauna Loa,Hawaiian Is,United States,4170,Shield volcano,Historical,77.0,Some (~51 to 100 deaths),,MODERATE (~$1 to $5 million),Many (~101 to 1000 houses),yes,yes,2,-155.608,19.475
271,1869,7,7,Lewotobi,Lesser Sunda Is,Indonesia,1703,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,2,122.775,-8.53
272,1895,,,Dakataua,New Britain-SW Pac,Papua New Guinea,400,Caldera,Anthropology,,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,no,no,2,150.108,-5.056
273,1900,7,17,Adatara,Honshu-Japan,Japan,1718,Stratovolcano,Historical,72.0,Some (~51 to 100 deaths),Few (~1 to 50 deaths),,,no,no,2,140.28,37.62
274,1900,,,Tullu Moje,Africa-NE,Ethiopia,2349,Pumice cone,Anthropology,,,,,,no,no,,39.13,8.158
275,1902,12,,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,16.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,Some (~51 to 100 houses),no,no,2,110.442,-7.542
276,1907,9,28,Lewotobi,Lesser Sunda Is,Indonesia,1703,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,2,122.775,-8.53
277,1913,3,14,Awu,Sangihe Is-Indonesia,Indonesia,1320,Stratovolcano,Historical,138.0,Many (~101 to 1000 deaths),Some (~51 to 100 deaths),MODERATE (~$1 to $5 million),Many (~101 to 1000 houses),yes,yes,2,125.5,3.67
278,1930,8,20,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,6.0,Few (~1 to 50 deaths),,,,no,no,3,138.53,36.4
279,1932,2,,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,,110.442,-7.542
280,1938,1,28,Nyamuragira,Africa-C,"Congo, DRC",3058,Shield volcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,yes,no,1,29.2,-1.408
281,1938,6,5,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,2,123.685,13.257
282,1954,,,Camiguin,Mindanao-Philippines,Philippines,1332,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,,124.673,9.203
283,1958,7,12,Mahawu,Sulawesi-Indonesia,Indonesia,1324,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,2,124.858,1.358
284,1961,4,23,Tate-yama,Honshu-Japan,Japan,2621,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,,137.6,36.57
285,1964,1,1,Paluweh,Lesser Sunda Is,Indonesia,875,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,2,121.708,-8.32
286,1992,9,17,Spurr,Alaska-SW,United States,3374,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),,no,no,4,-152.25,61.3
287,1995,9,6,Parker,Mindanao-Philippines,Philippines,1824,Stratovolcano,Historical,60.0,Some (~51 to 100 deaths),,MODERATE (~$1 to $5 million),Many (~101 to 1000 houses),no,no,,124.892,6.12
288,1998,7,,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,10.0,Few (~1 to 50 deaths),,,,no,no,,112.308,-7.93
289,2000,8,23,Arenal,Costa Rica,Costa Rica,1657,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,3,-84.703,10.463
290,2010,5,27,Pacaya,Guatemala,Guatemala,2552,Complex volcano,Historical,1.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),no,no,1,-90.601,14.381
291,2010,10,26,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,367.0,Many (~101 to 1000 deaths),Many (~101 to 1000 deaths),EXTREME (~$25 million or more),Many (~101 to 1000 houses),no,no,,110.442,-7.542
292,2011,7,17,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1580,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,,124.792,1.358
293,2013,2,12,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),LIMITED (roughly corresponding to less than $1 million),,no,no,,110.442,-7.542
294,2016,9,27,Rinjani,Lesser Sunda Is,Indonesia,3726,Stratovolcano,Historical,,,,,,no,no,,116.47,-8.42
295,2018,7,16,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,,,Few (~1 to 50 deaths),LIMITED (roughly corresponding to less than $1 million),,no,no,,-155.292,19.425
296,-1900,,,Black Peak,Alaska Peninsula,United States,1032,Stratovolcano,Radiocarbon,,,,,,no,no,6,-158.8,56.53
297,1477,2,,Bardarbunga,Iceland-NE,Iceland,2000,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,6,-17.53,64.63
298,1597,,,Raung,Java,Indonesia,3332,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,3,114.042,-8.125
299,1673,5,20,Gamkonora,Halmahera-Indonesia,Indonesia,1635,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),yes,no,5,127.52,1.375
300,1754,5,13,Taal,Luzon-Philippines,Philippines,400,Stratovolcano,Historical,12.0,Few (~1 to 50 deaths),,EXTREME (~$25 million or more),Very Many (~1001 or more houses),yes,yes,4,120.993,14.002
301,1768,4,4,Cotopaxi,Ecuador,Ecuador,5911,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),,no,no,4,-78.436,-0.677
302,1792,5,21,Unzen,Kyushu-Japan,Japan,1500,Complex volcano,Historical,15000.0,Very Many (~1001 or more deaths),Many (~101 to 1000 deaths),EXTREME (~$25 million or more),Very Many (~1001 or more houses),yes,yes,2,130.3,32.75
303,1814,2,1,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,1200.0,Very Many (~1001 or more deaths),,SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),no,no,4,123.685,13.257
304,1815,4,10,Tambora,Lesser Sunda Is,Indonesia,2850,Stratovolcano,Historical,60000.0,Very Many (~1001 or more deaths),Very Many (~1001 or more deaths),EXTREME (~$25 million or more),Very Many (~1001 or more houses),yes,no,7,118.0,-8.25
305,1818,2,5,Colima,Mexico,Mexico,3850,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,4,-103.62,19.514
306,1854,6,27,Alaid,Kuril Is,Russia,2339,Stratovolcano,Historical,,,,,,yes,no,3,155.55,50.858
307,1863,8,17,Yasur,Vanuatu-SW Pacific,Vanuatu,361,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,,,yes,yes,,169.425,-19.52
308,1872,4,15,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,30.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,Few (~1 to 50 houses),no,no,4,110.442,-7.542
309,1884,2,,Krakatau,Indonesia,Indonesia,813,Caldera,Historical,,,,,,yes,no,,105.423,-6.102
310,1888,3,13,Ritter Island,New Guinea-NE of,Papua New Guinea,140,Stratovolcano,Historical,,Very Many (~1001 or more deaths),,SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),yes,no,3,148.121,-5.52
311,1888,7,15,Bandai,Honshu-Japan,Japan,1819,Stratovolcano,Historical,461.0,Many (~101 to 1000 deaths),Some (~51 to 100 deaths),MODERATE (~$1 to $5 million),Some (~51 to 100 houses),no,no,4,140.08,37.6
312,1913,6,23,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,2,112.92,-8.108
313,1916,3,3,Tungurahua,Ecuador,Ecuador,5023,Stratovolcano,Historical,,,,,,no,no,4,-78.442,-1.467
314,1920,7,25,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,33.0,Few (~1 to 50 deaths),,,,no,no,3,110.442,-7.542
315,1946,10,29,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,2,112.92,-8.108
316,1948,4,7,Iliwerung,Lesser Sunda Is,Indonesia,1018,Complex volcano,Historical,,,,MODERATE (~$1 to $5 million),,no,no,2,123.59,-8.54
317,1950,9,15,Camiguin,Mindanao-Philippines,Philippines,1332,Stratovolcano,Historical,68.0,Some (~51 to 100 deaths),,,,no,no,3,124.673,9.203
318,1950,9,23,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,Few (~1 to 50 houses),no,no,2,138.53,36.4
319,1951,8,3,Cosiguina,Nicaragua,Nicaragua,872,Stratovolcano,Historical,,,,SEVERE (~>$5 to $24 million),Some (~51 to 100 houses),yes,yes,,-87.57,12.98
320,1956,3,30,Bezymianny,Kamchatka,Russia,2882,Stratovolcano,Historical,,,,,,yes,no,5,160.587,55.978
321,1958,10,7,Kuwae,Vanuatu-SW Pacific,Vanuatu,-2,Caldera,Historical,,,,,,yes,no,2,168.536,-16.829
322,1967,8,31,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,3.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,no,no,3,112.92,-8.108
323,1974,8,9,Sakura-jima,Kyushu-Japan,Japan,1117,Stratovolcano,Historical,5.0,Few (~1 to 50 deaths),,,,no,no,3,130.67,31.58
324,1979,2,20,Dieng Volc Complex,Java,Indonesia,2565,Complex volcano,Historical,149.0,Many (~101 to 1000 deaths),,,,no,no,1,109.92,-7.2
325,1984,9,9,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,3,123.685,13.257
326,1988,5,9,Banda Api,Banda Sea,Pacific Ocean,640,Caldera,Historical,4.0,Few (~1 to 50 deaths),,,,no,no,3,129.871,-4.525
327,1993,6,13,Krakatau,Indonesia,Indonesia,813,Caldera,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,1,105.423,-6.102
328,1996,1,2,Karymsky,Kamchatka,Russia,1536,Stratovolcano,Historical,,,,,,yes,no,2,159.43,54.05
329,1997,12,26,Soufriere Hills,W Indies,Montserrat,915,Stratovolcano,Historical,,,,,,yes,no,,-62.18,16.72
330,2006,6,7,Bulusan,Luzon-Philippines,Philippines,1565,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,2,124.05,12.77
331,2007,3,,Manam,New Guinea-NE of,Papua New Guinea,1807,Stratovolcano,Historical,4.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,4,145.061,-4.1
332,2007,9,30,"Tair, Jebel at",Red Sea,Yemen,244,Stratovolcano,Historical,7.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,,41.742,15.7
333,2011,1,28,Kirishima,Kyushu-Japan,Japan,1700,Shield volcano,Historical,,,Few (~1 to 50 deaths),LIMITED (roughly corresponding to less than $1 million),,no,no,,130.87,31.93
334,2012,12,12,Tolbachik,Kamchatka,Russia,3682,Shield volcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,,160.33,55.83
335,2018,4,28,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,,,Few (~1 to 50 deaths),EXTREME (~$25 million or more),Many (~101 to 1000 houses),yes,yes,1,-155.292,19.425
336,2020,5,29,Ijen,Java,Indonesia,2799,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,yes,yes,,114.242,-8.058
337,50,,,Ambrym,Vanuatu-SW Pacific,Vanuatu,1334,Pyroclastic shield,Historical,,,,,,no,no,6,168.12,-16.25
338,590,,,San Salvador,El Salvador,El Salvador,1893,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,,-89.286,13.736
339,1302,,,Ischia,Italy,Italy,789,Complex volcano,Historical,,Few (~1 to 50 deaths),,,,no,no,,13.897,40.73
